shipment_id,lane_id,origin,destination,carrier_id,carrier_name,distance_km,weight_kg,freight_cost_inr,cost_per_kg,transit_days_promised,transit_days_actual,on_time_delivery,delay_days,damage_loss_flag,is_monsoon,is_festival,shipment_date,mode,freight_type
SHP20000,L001,Dehradun,Jaipur,C005,TCI Freight,565,6499.9,16174.24,2.488,2,3,0,1,0,0,0,2023-02-02,FTL,Pharma
SHP20001,L002,Jaipur,Varanasi,C004,VRL Logistics,963,6200.2,25464.63,4.107,2,2,1,0,0,0,0,2024-03-05,LTL,Auto Parts
SHP20002,L003,Coimbatore,Bhubaneswar,C005,TCI Freight,1818,20331.0,41124.44,2.023,3,3,1,0,0,0,0,2023-12-15,FTL,Electronics
SHP20003,L004,Mangalore,Noida,C004,VRL Logistics,2280,23951.7,76120.44,3.178,3,4,0,1,0,0,0,2023-12-19,FTL,Pharma
SHP20004,L005,Madurai,Lucknow,C008,XpressBees,2473,13637.6,73723.57,5.406,3,3,1,0,0,0,0,2024-01-06,FTL,FMCG
SHP20005,L006,Jabalpur,Hyderabad,C002,GATI Express,860,1622.7,4539.74,2.798,2,2,1,0,0,1,0,2023-08-27,LTL,Auto Parts
SHP20006,L007,Varanasi,Rajkot,C005,TCI Freight,1670,11608.6,57107.19,4.919,3,3,1,0,0,0,1,2023-10-01,FTL,Electronics
SHP20007,L008,Amritsar,Bangalore,C004,VRL Logistics,2727,4503.4,14987.74,3.328,3,3,1,0,0,1,0,2023-08-13,FTL,FMCG
SHP20008,L009,Mumbai,Chandigarh,C004,VRL Logistics,1753,20634.2,99408.57,4.818,3,3,1,0,0,0,1,2023-11-19,FTL,FMCG
SHP20009,L010,Kochi,Ranchi,C007,Ekart Logistics,2301,22174.7,94242.07,4.25,3,5,0,2,0,1,0,2023-09-27,LTL,FMCG
SHP20010,L011,Nashik,Rajkot,C006,Safexpress,524,5873.4,32253.08,5.491,2,2,1,0,0,0,0,2023-02-18,FTL,FMCG
SHP20011,L012,Dehradun,Chennai,C003,Delhivery Ltd,2505,19905.9,69223.96,3.478,3,7,0,4,0,0,0,2024-04-24,FTL,Pharma
SHP20012,L013,Raipur,Madurai,C001,BlueDart Logistics,1718,17166.9,41216.54,2.401,3,3,1,0,0,0,0,2023-12-15,FTL,Textiles
SHP20013,L014,Dehradun,Vijayawada,C007,Ekart Logistics,2024,4374.9,8799.49,2.011,3,3,1,0,0,0,0,2024-05-27,FTL,Pharma
SHP20014,L015,Bangalore,Raipur,C002,GATI Express,1334,21827.7,66455.67,3.045,3,3,1,0,0,1,0,2023-06-06,LTL,Pharma
SHP20015,L016,Surat,Chennai,C001,BlueDart Logistics,1563,15174.1,56297.73,3.71,3,6,0,3,0,0,1,2023-11-11,FTL,Electronics
SHP20016,L017,Visakhapatnam,Chandigarh,C004,VRL Logistics,2064,22011.2,116974.63,5.314,3,7,0,4,0,1,0,2024-06-29,LTL,Electronics
SHP20017,L018,Kanpur,Noida,C008,XpressBees,471,23697.8,61091.61,2.578,1,1,1,0,0,1,0,2023-08-05,LTL,Textiles
SHP20018,L019,Bhopal,Hyderabad,C005,TCI Freight,866,10275.3,44706.85,4.351,2,2,1,0,0,0,0,2024-04-07,LTL,Electronics
SHP20019,L020,Dehradun,Madurai,C004,VRL Logistics,2949,2068.6,4289.49,2.074,3,3,1,0,0,0,0,2023-01-08,FTL,General Cargo
SHP20020,L021,Amritsar,Chandigarh,C004,VRL Logistics,269,2151.3,4539.13,2.11,1,1,1,0,0,0,1,2023-10-13,LTL,Textiles
SHP20021,L022,Guwahati,Kochi,C003,Delhivery Ltd,3149,18222.1,92720.25,5.088,3,3,1,0,0,0,0,2024-04-29,FTL,Electronics
SHP20022,L023,Nagpur,Hyderabad,C002,GATI Express,541,2874.8,10086.75,3.509,2,2,1,0,0,0,0,2023-02-25,LTL,Textiles
