shipment_id,lane_id,origin,destination,carrier_id,carrier_name,distance_km,weight_kg,freight_cost_inr,cost_per_kg,transit_days_promised,transit_days_actual,on_time_delivery,delay_days,damage_loss_flag,is_monsoon,is_festival,shipment_date
SHP10000,L001,Mumbai,Delhi,C001,BlueDart Logistics,1415,2522.2,9831.84,3.898,2,2,1,0,0,0,1,2023-10-09
SHP10001,L001,Mumbai,Delhi,C006,Safexpress,1415,5951.2,24936.87,4.19,3,3,1,0,0,0,0,2023-03-31
SHP10002,L001,Mumbai,Delhi,C001,BlueDart Logistics,1415,3468.5,14959.2,4.313,2,2,1,0,0,1,0,2023-08-12
SHP10003,L001,Mumbai,Delhi,C005,TCI Freight,1415,3586.4,16229.64,4.525,3,3,1,0,0,1,0,2023-07-23
SHP10004,L009,Mumbai,Hyderabad,C004,VRL Logistics,711,8021.4,26264.9,3.274,2,2,1,0,0,1,0,2023-08-14
SHP10005,L001,Mumbai,Delhi,C002,GATI Express,1415,1969.8,7836.79,3.978,2,2,1,0,0,0,0,2024-03-08
SHP10006,L003,Mumbai,Bangalore,C003,Delhivery Ltd,984,3368.8,12583.49,3.735,2,2,1,0,0,0,0,2023-04-15
SHP10007,L005,Chennai,Hyderabad,C003,Delhivery Ltd,627,7034.9,22551.62,3.206,1,1,1,0,0,1,0,2023-09-28
SHP10008,L009,Mumbai,Hyderabad,C001,BlueDart Logistics,711,3428.4,11087.32,3.234,2,2,1,0,0,0,0,2024-01-23
SHP10009,L009,Mumbai,Hyderabad,C003,Delhivery Ltd,711,8677.3,23519.54,2.71,3,3,1,0,0,1,0,2023-07-16
SHP10010,L003,Mumbai,Bangalore,C003,Delhivery Ltd,984,3568.2,15637.36,4.382,2,2,1,0,0,0,0,2023-03-23
SHP10011,L006,Pune,Ahmedabad,C003,Delhivery Ltd,475,4898.5,13984.47,2.855,2,2,1,0,0,0,0,2024-04-09
SHP10012,L003,Mumbai,Bangalore,C003,Delhivery Ltd,984,25000.0,103033.32,4.121,2,2,1,0,0,0,0,2023-12-30
SHP10013,L001,Mumbai,Delhi,C005,TCI Freight,1415,10058.6,46690.17,4.642,3,4,0,1,0,1,0,2023-06-25
SHP10014,L003,Mumbai,Bangalore,C004,VRL Logistics,984,2682.6,12195.28,4.546,2,3,0,1,0,0,0,2024-01-24
SHP10015,L009,Mumbai,Hyderabad,C002,GATI Express,711,1900.8,5480.99,2.884,2,3,0,1,0,0,1,2023-11-29
SHP10016,L001,Mumbai,Delhi,C003,Delhivery Ltd,1415,5969.7,21892.66,3.667,2,2,1,0,0,0,0,2024-02-15
SHP10017,L009,Mumbai,Hyderabad,C006,Safexpress,711,3900.9,13053.0,3.346,2,3,0,1,0,0,1,2023-11-19
SHP10018,L006,Pune,Ahmedabad,C006,Safexpress,475,6969.3,16425.04,2.357,1,1,1,0,0,0,0,2024-04-14
SHP10019,L003,Mumbai,Bangalore,C006,Safexpress,984,8372.0,33550.78,4.007,3,4,0,1,0,1,0,2023-09-27
SHP10020,L009,Mumbai,Hyderabad,C004,VRL Logistics,711,5995.5,22285.86,3.717,2,2,1,0,0,0,0,2024-01-06
SHP10021,L003,Mumbai,Bangalore,C005,TCI Freight,984,8824.9,37375.13,4.235,2,2,1,0,0,0,0,2024-05-20
SHP10022,L001,Mumbai,Delhi,C002,GATI Express,1415,8002.5,33535.08,4.191,3,3,1,0,0,1,0,2023-06-13
SHP10023,L001,Mumbai,Delhi,C004,VRL Logistics,1415,11089.4,55827.35,5.034,3,3,1,0,0,0,0,2024-01-26
SHP10024,L009,Mumbai,Hyderabad,C003,Delhivery Ltd,711,6104.8,20860.0,3.417,3,3,1,0,0,0,0,2023-01-12
SHP10025,L009,Mumbai,Hyderabad,C003,Delhivery Ltd,711,12367.4,36526.47,2.953,2,2,1,0,0,0,0,2023-12-15
SHP10026,L003,Mumbai,Bangalore,C004,VRL Logistics,984,5178.3,22758.03,4.395,3,3,1,0,0,0,0,2023-01-04
SHP10027,L005,Chennai,Hyderabad,C005,TCI Freight,627,4107.6,13930.17,3.391,2,2,1,0,0,1,0,2023-07-02
SHP10028,L005,Chennai,Hyderabad,C006,Safexpress,627,11929.1,31813.65,2.667,2,2,1,0,0,1,0,2024-06-03
SHP10029,L005,Chennai,Hyderabad,C002,GATI Express,627,3601.3,11066.54,3.073,1,1,1,0,0,1,0,2024-06-27
SHP10030,L006,Pune,Ahmedabad,C001,BlueDart Logistics,475,8512.1,24633.01,2.894,1,1,1,0,0,0,0,2023-04-25
SHP10031,L005,Chennai,Hyderabad,C002,GATI Express,627,5986.4,20091.43,3.356,1,1,1,0,0,0,0,2023-03-01
SHP10032,L001,Mumbai,Delhi,C001,BlueDart Logistics,1415,3225.3,16151.13,5.008,2,2,1,0,0,0,0,2024-05-12
SHP10033,L009,Mumbai,Hyderabad,C002,GATI Express,711,4037.6,12721.19,3.151,3,3,1,0,0,0,0,2023-05-12
SHP10034,L009,Mumbai,Hyderabad,C002,GATI Express,711,999.1,3578.37,3.582,3,4,0,1,0,1,0,2023-09-29
SHP10035,L006,Pune,Ahmedabad,C002,GATI Express,475,6047.0,14499.2,2.398,2,2,1,0,0,1,0,2023-07-25
SHP10036,L005,Chennai,Hyderabad,C004,VRL Logistics,627,15240.5,39439.66,2.588,1,2,0,1,0,1,0,2024-06-13
SHP10037,L003,Mumbai,Bangalore,C001,BlueDart Logistics,984,5457.5,21897.95,4.012,2,4,0,2,0,0,0,2023-12-13
SHP10038,L003,Mumbai,Bangalore,C005,TCI Freight,984,2582.4,8584.98,3.324,2,2,1,0,0,1,0,2023-08-14
SHP10039,L001,Mumbai,Delhi,C002,GATI Express,1415,2709.3,13095.85,4.834,2,2,1,0,0,0,0,2023-03-11
SHP10040,L001,Mumbai,Delhi,C005,TCI Freight,1415,6546.3,29807.9,4.553,2,2,1,0,0,1,0,2023-09-01
SHP10041,L003,Mumbai,Bangalore,C005,TCI Freight,984,4207.3,18824.44,4.474,3,3,1,0,0,0,0,2023-05-16
SHP10042,L009,Mumbai,Hyderabad,C005,TCI Freight,711,9756.5,34014.2,3.486,2,3,0,1,0,0,0,2024-04-29
SHP10043,L006,Pune,Ahmedabad,C002,GATI Express,475,7716.8,20847.78,2.702,1,1,1,0,0,0,0,2023-04-07
SHP10044,L005,Chennai,Hyderabad,C004,VRL Logistics,627,6989.2,23356.47,3.342,1,1,1,0,0,0,0,2024-02-25
SHP10045,L001,Mumbai,Delhi,C006,Safexpress,1415,18293.0,76132.78,4.162,2,3,0,1,0,0,0,2023-04-11
SHP10046,L005,Chennai,Hyderabad,C001,BlueDart Logistics,627,13683.7,36372.12,2.658,1,1,1,0,0,1,0,2023-09-12
SHP10047,L006,Pune,Ahmedabad,C002,GATI Express,475,8301.2,19663.28,2.369,1,1,1,0,0,0,0,2024-03-08
SHP10048,L003,Mumbai,Bangalore,C001,BlueDart Logistics,984,6780.5,22783.96,3.36,3,3,1,0,0,0,0,2024-03-29
SHP10049,L009,Mumbai,Hyderabad,C001,BlueDart Logistics,711,2838.9,7992.77,2.815,2,3,0,1,0,0,0,2023-04-06
SHP10050,L006,Pune,Ahmedabad,C004,VRL Logistics,475,8007.3,23338.38,2.915,1,1,1,0,0,1,0,2023-08-07
SHP10051,L003,Mumbai,Bangalore,C004,VRL Logistics,984,2348.4,8413.66,3.583,2,2,1,0,0,0,0,2023-01-03
SHP10052,L006,Pune,Ahmedabad,C003,Delhivery Ltd,475,5744.1,17017.77,2.963,2,2,1,0,0,0,0,2024-03-09
SHP10053,L009,Mumbai,Hyderabad,C006,Safexpress,711,7856.5,22320.62,2.841,2,2,1,0,0,0,0,2024-05-13
SHP10054,L003,Mumbai,Bangalore,C001,BlueDart Logistics,984,5711.8,20831.47,3.647,3,3,1,0,0,0,0,2023-03-04
SHP10055,L001,Mumbai,Delhi,C005,TCI Freight,1415,6050.3,29776.55,4.921,3,3,1,0,0,0,0,2024-05-03
SHP10056,L009,Mumbai,Hyderabad,C002,GATI Express,711,5458.3,14857.06,2.722,3,4,0,1,0,0,0,2023-02-28
SHP10057,L003,Mumbai,Bangalore,C001,BlueDart Logistics,984,2368.2,10363.76,4.376,3,3,1,0,0,0,0,2023-03-11
SHP10058,L006,Pune,Ahmedabad,C001,BlueDart Logistics,475,3131.6,8283.72,2.645,2,2,1,0,0,1,0,2023-09-10
SHP10059,L009,Mumbai,Hyderabad,C001,BlueDart Logistics,711,2494.2,8151.76,3.268,3,3,1,0,0,0,0,2024-03-05
SHP10060,L009,Mumbai,Hyderabad,C003,Delhivery Ltd,711,2920.2,9816.7,3.362,2,2,1,0,0,1,0,2023-09-25
